timestamp,gpu_id,name,utilization_gpu_pct,utilization_mem_pct,memory_used_mib,memory_total_mib,temperature_gpu_c,power_draw_w
2026/03/25 19:19:30.451,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,67.29
2026/03/25 19:19:30.457,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,57.03
2026/03/25 19:20:00.502,0,NVIDIA GeForce RTX 4090,69,48,2520,24564,45,335.10
2026/03/25 19:20:00.511,1,NVIDIA GeForce RTX 4080,82,54,14149,16376,57,270.31
2026/03/25 19:20:30.566,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,67.75
2026/03/25 19:20:30.572,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,61.07
2026/03/25 19:21:00.624,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,136.02
2026/03/25 19:21:00.631,1,NVIDIA GeForce RTX 4080,87,64,14149,16376,58,272.32
2026/03/25 19:21:30.681,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,36,68.14
2026/03/25 19:21:30.686,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,59.91
2026/03/25 19:22:00.736,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,69.01
2026/03/25 19:22:00.741,1,NVIDIA GeForce RTX 4080,82,55,14149,16376,57,275.68
2026/03/25 19:22:30.792,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,68.36
2026/03/25 19:22:30.798,1,NVIDIA GeForce RTX 4080,72,47,14149,16376,58,271.58
2026/03/25 19:23:00.852,0,NVIDIA GeForce RTX 4090,76,52,2520,24564,46,346.51
2026/03/25 19:23:00.865,1,NVIDIA GeForce RTX 4080,83,56,14149,16376,58,268.83
2026/03/25 19:23:30.905,0,NVIDIA GeForce RTX 4090,75,52,2520,24564,45,268.06
