nohup: ignoring input
Device: cuda | Experiment: Extended Features (9) | Events: 200000
Epoch 133 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1103 | V-Loss: 0.1098 | T-P@R0.9: 0.4392 | V-P@R0.9: 0.4413
Epoch 134 | Time: 112.2s | LR: 2.00e-04 | T-Loss: 0.1098 | V-Loss: 0.1094 | T-P@R0.9: 0.4398 | V-P@R0.9: 0.4412
Epoch 135 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1098 | V-Loss: 0.1094 | T-P@R0.9: 0.4396 | V-P@R0.9: 0.4424
Epoch 136 | Time: 113.0s | LR: 2.00e-04 | T-Loss: 0.1095 | V-Loss: 0.1091 | T-P@R0.9: 0.4400 | V-P@R0.9: 0.4424
Epoch 137 | Time: 112.5s | LR: 2.00e-04 | T-Loss: 0.1096 | V-Loss: 0.1092 | T-P@R0.9: 0.4404 | V-P@R0.9: 0.4421
Epoch 138 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1100 | V-Loss: 0.1096 | T-P@R0.9: 0.4392 | V-P@R0.9: 0.4398
Epoch 139 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1096 | V-Loss: 0.1092 | T-P@R0.9: 0.4406 | V-P@R0.9: 0.4425
Epoch 140 | Time: 112.2s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1090 | T-P@R0.9: 0.4405 | V-P@R0.9: 0.4427
Epoch 141 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1095 | V-Loss: 0.1091 | T-P@R0.9: 0.4412 | V-P@R0.9: 0.4431
Epoch 142 | Time: 114.3s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1089 | T-P@R0.9: 0.4410 | V-P@R0.9: 0.4437
Epoch 143 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1090 | T-P@R0.9: 0.4416 | V-P@R0.9: 0.4435
Epoch 144 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1100 | V-Loss: 0.1096 | T-P@R0.9: 0.4366 | V-P@R0.9: 0.4393
Epoch 145 | Time: 113.7s | LR: 2.00e-04 | T-Loss: 0.1094 | V-Loss: 0.1090 | T-P@R0.9: 0.4408 | V-P@R0.9: 0.4431
Epoch 146 | Time: 114.1s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1089 | T-P@R0.9: 0.4408 | V-P@R0.9: 0.4430
Epoch 147 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1092 | V-Loss: 0.1089 | T-P@R0.9: 0.4424 | V-P@R0.9: 0.4440
Epoch 148 | Time: 113.7s | LR: 2.00e-04 | T-Loss: 0.1098 | V-Loss: 0.1096 | T-P@R0.9: 0.4408 | V-P@R0.9: 0.4426
Epoch 149 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1089 | T-P@R0.9: 0.4426 | V-P@R0.9: 0.4443
Epoch 150 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1090 | T-P@R0.9: 0.4409 | V-P@R0.9: 0.4423
Epoch 151 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1094 | V-Loss: 0.1091 | T-P@R0.9: 0.4410 | V-P@R0.9: 0.4422
Epoch 152 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1090 | T-P@R0.9: 0.4425 | V-P@R0.9: 0.4444
Epoch 153 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1093 | V-Loss: 0.1090 | T-P@R0.9: 0.4406 | V-P@R0.9: 0.4434
Epoch 154 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1089 | V-Loss: 0.1085 | T-P@R0.9: 0.4430 | V-P@R0.9: 0.4446
Epoch 155 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1091 | V-Loss: 0.1088 | T-P@R0.9: 0.4416 | V-P@R0.9: 0.4434
Epoch 156 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1091 | V-Loss: 0.1087 | T-P@R0.9: 0.4414 | V-P@R0.9: 0.4438
Epoch 157 | Time: 114.0s | LR: 2.00e-04 | T-Loss: 0.1088 | V-Loss: 0.1085 | T-P@R0.9: 0.4419 | V-P@R0.9: 0.4440
Epoch 158 | Time: 113.9s | LR: 2.00e-04 | T-Loss: 0.1090 | V-Loss: 0.1086 | T-P@R0.9: 0.4426 | V-P@R0.9: 0.4444
Epoch 159 | Time: 114.0s | LR: 2.00e-04 | T-Loss: 0.1090 | V-Loss: 0.1087 | T-P@R0.9: 0.4420 | V-P@R0.9: 0.4436
